id,action,reason,question
VGIK-V8-00001,removed,заменено числовыми задачами,"Что связывает скорость волны, длину волны и частоту?"
VGIK-V8-00002,removed,заменено числовыми задачами,"Как найти частоту, если известен период колебаний?"
VGIK-V8-00003,removed,заменено числовыми задачами,Какая формула закона Ома для участка цепи?
VGIK-V8-00004,removed,заменено числовыми задачами,Как найти мощность в электрической цепи?
VGIK-V8-00005,removed,заменено числовыми задачами,Как найти сопротивление проводника через материал и размеры?
VGIK-V8-00006,removed,заменено числовыми задачами,Как найти силу Кулона между двумя точечными зарядами?
VGIK-V8-00007,removed,заменено числовыми задачами,Как найти напряжённость электрического поля точечного заряда?
VGIK-V8-00008,removed,заменено числовыми задачами,Как найти ёмкость конденсатора?
VGIK-V8-00009,removed,заменено числовыми задачами,Как найти энергию заряженного конденсатора?
VGIK-V8-00010,removed,заменено числовыми задачами,Как складываются конденсаторы при параллельном соединении?
VGIK-V8-00011,removed,заменено числовыми задачами,Как складываются конденсаторы при последовательном соединении?
VGIK-V8-00012,removed,заменено числовыми задачами,Как найти силу Ампера?
VGIK-V8-00013,removed,заменено числовыми задачами,Как найти силу Лоренца?
VGIK-V8-00014,removed,заменено числовыми задачами,Как найти магнитный поток?
VGIK-V8-00015,removed,заменено числовыми задачами,Какая формула закона электромагнитной индукции?
VGIK-V8-00016,removed,заменено числовыми задачами,Как связаны напряжения и числа витков в идеальном трансформаторе?
VGIK-V8-00017,removed,заменено числовыми задачами,Как найти индуктивное сопротивление катушки в переменном токе?
VGIK-V8-00018,removed,заменено числовыми задачами,Как найти ёмкостное сопротивление конденсатора в переменном токе?
VGIK-V8-00019,removed,заменено числовыми задачами,Как найти полное сопротивление RLC-цепи?
VGIK-V8-00020,removed,заменено числовыми задачами,Как записать гармоническое колебание?
VGIK-V8-00021,removed,заменено числовыми задачами,Как найти период математического маятника?
VGIK-V8-00022,removed,заменено числовыми задачами,Как найти период пружинного маятника?
VGIK-V8-00023,removed,заменено числовыми задачами,Как найти работу силы?
VGIK-V8-00024,removed,заменено числовыми задачами,Как найти кинетическую энергию тела?
VGIK-V8-00025,removed,заменено числовыми задачами,Как найти потенциальную энергию у поверхности Земли?
VGIK-V8-00026,removed,заменено числовыми задачами,Как найти импульс тела?
VGIK-V8-00027,removed,заменено числовыми задачами,Как найти ускорение?
VGIK-V8-00028,removed,заменено числовыми задачами,Как найти путь при равноускоренном движении?
VGIK-V9-00022,removed,заменено числовыми задачами,"Как записать связь скорости волны, длины волны и частоты?"
VGIK-V9-00023,removed,заменено числовыми задачами,Как связаны частота и период?
VGIK-V9-00024,removed,заменено числовыми задачами,Как записать закон Ома?
VGIK-V9-00025,removed,заменено числовыми задачами,Как найти мощность тока?
VGIK-V9-00026,removed,заменено числовыми задачами,Как записать закон электромагнитной индукции?
VGIK-V9-00027,removed,заменено числовыми задачами,Как найти энергию конденсатора?
