id,action,reason,question
VGIK-SOUND-00230,removed,удалён старый/низкоценный/ошибочный блок,"Кто режиссёр фильма «А зори здесь тихие» (реж. Станислав Ростоцкий, 1972)?"
VGIK-SOUND-00231,removed,удалён старый/низкоценный/ошибочный блок,"В каком году вышел фильм «А зори здесь тихие» (реж. Станислав Ростоцкий, 1972)?"
VGIK-SOUND-00232,removed,удалён старый/низкоценный/ошибочный блок,"К какому типу удобнее отнести «А зори здесь тихие» (реж. Станислав Ростоцкий, 1972)?"
VGIK-SOUND-00236,removed,удалён старый/низкоценный/ошибочный блок,"Кто режиссёр фильма «Александр Невский» (реж. Сергей Эйзенштейн, 1938)?"
VGIK-SOUND-00237,removed,удалён старый/низкоценный/ошибочный блок,"В каком году вышел фильм «Александр Невский» (реж. Сергей Эйзенштейн, 1938)?"
VGIK-SOUND-00238,removed,удалён старый/низкоценный/ошибочный блок,"К какому типу удобнее отнести «Александр Невский» (реж. Сергей Эйзенштейн, 1938)?"
VGIK-SOUND-00242,removed,удалён старый/низкоценный/ошибочный блок,"Кто режиссёр фильма «Андрей Рублев» (реж. Андрей Тарковский, 1966)?"
VGIK-SOUND-00243,removed,удалён старый/низкоценный/ошибочный блок,"В каком году вышел фильм «Андрей Рублев» (реж. Андрей Тарковский, 1966)?"
VGIK-SOUND-00244,removed,удалён старый/низкоценный/ошибочный блок,"К какому типу удобнее отнести «Андрей Рублев» (реж. Андрей Тарковский, 1966)?"
VGIK-SOUND-00248,removed,удалён старый/низкоценный/ошибочный блок,"Кто режиссёр фильма «Анкор! Еще анкор!» (реж. Пётр Тодоровский, 1993)?"
VGIK-SOUND-00249,removed,удалён старый/низкоценный/ошибочный блок,"В каком году вышел фильм «Анкор! Еще анкор!» (реж. Пётр Тодоровский, 1993)?"
VGIK-SOUND-00250,removed,удалён старый/низкоценный/ошибочный блок,"К какому типу удобнее отнести «Анкор! Еще анкор!» (реж. Пётр Тодоровский, 1993)?"
VGIK-SOUND-00254,removed,удалён старый/низкоценный/ошибочный блок,"Кто режиссёр фильма «Асса» (реж. Сергей Соловьёв, 1987)?"
VGIK-SOUND-00255,removed,удалён старый/низкоценный/ошибочный блок,"В каком году вышел фильм «Асса» (реж. Сергей Соловьёв, 1987)?"
VGIK-SOUND-00256,removed,удалён старый/низкоценный/ошибочный блок,"К какому типу удобнее отнести «Асса» (реж. Сергей Соловьёв, 1987)?"
VGIK-SOUND-00260,removed,удалён старый/низкоценный/ошибочный блок,"Кто режиссёр фильма «Астенический синдром» (реж. Кира Муратова, 1990)?"
VGIK-SOUND-00261,removed,удалён старый/низкоценный/ошибочный блок,"В каком году вышел фильм «Астенический синдром» (реж. Кира Муратова, 1990)?"
VGIK-SOUND-00262,removed,удалён старый/низкоценный/ошибочный блок,"К какому типу удобнее отнести «Астенический синдром» (реж. Кира Муратова, 1990)?"
VGIK-SOUND-00266,removed,удалён старый/низкоценный/ошибочный блок,"Кто режиссёр фильма «Баллада о солдате» (реж. Григорий Чухрай, 1959)?"
VGIK-SOUND-00267,removed,удалён старый/низкоценный/ошибочный блок,"В каком году вышел фильм «Баллада о солдате» (реж. Григорий Чухрай, 1959)?"
VGIK-SOUND-00268,removed,удалён старый/низкоценный/ошибочный блок,"К какому типу удобнее отнести «Баллада о солдате» (реж. Григорий Чухрай, 1959)?"
VGIK-SOUND-00272,removed,удалён старый/низкоценный/ошибочный блок,"Кто режиссёр фильма «Бег» (реж. Александр Алов, Владимир Наумов, 1970)?"
VGIK-SOUND-00273,removed,удалён старый/низкоценный/ошибочный блок,"В каком году вышел фильм «Бег» (реж. Александр Алов, Владимир Наумов, 1970)?"
VGIK-SOUND-00274,removed,удалён старый/низкоценный/ошибочный блок,"К какому типу удобнее отнести «Бег» (реж. Александр Алов, Владимир Наумов, 1970)?"
VGIK-SOUND-00278,removed,удалён старый/низкоценный/ошибочный блок,"Кто режиссёр фильма «Возвращение» (реж. Андрей Звягинцев, 2003)?"
VGIK-SOUND-00279,removed,удалён старый/низкоценный/ошибочный блок,"В каком году вышел фильм «Возвращение» (реж. Андрей Звягинцев, 2003)?"
VGIK-SOUND-00280,removed,удалён старый/низкоценный/ошибочный блок,"К какому типу удобнее отнести «Возвращение» (реж. Андрей Звягинцев, 2003)?"
VGIK-SOUND-00284,removed,удалён старый/низкоценный/ошибочный блок,"Кто режиссёр фильма «Война и мир» (реж. Сергей Бондарчук, 1965-1967)?"
VGIK-SOUND-00285,removed,удалён старый/низкоценный/ошибочный блок,"В каком году вышел фильм «Война и мир» (реж. Сергей Бондарчук, 1965-1967)?"
VGIK-SOUND-00286,removed,удалён старый/низкоценный/ошибочный блок,"К какому типу удобнее отнести «Война и мир» (реж. Сергей Бондарчук, 1965-1967)?"
VGIK-SOUND-00290,removed,удалён старый/низкоценный/ошибочный блок,"Кто режиссёр фильма «Гамлет» (реж. Григорий Козинцев, 1964)?"
VGIK-SOUND-00291,removed,удалён старый/низкоценный/ошибочный блок,"В каком году вышел фильм «Гамлет» (реж. Григорий Козинцев, 1964)?"
VGIK-SOUND-00292,removed,удалён старый/низкоценный/ошибочный блок,"К какому типу удобнее отнести «Гамлет» (реж. Григорий Козинцев, 1964)?"
VGIK-SOUND-00296,removed,удалён старый/низкоценный/ошибочный блок,"Кто режиссёр фильма «Дворянское гнездо» (реж. Андрей Кончаловский, 1969)?"
VGIK-SOUND-00297,removed,удалён старый/низкоценный/ошибочный блок,"В каком году вышел фильм «Дворянское гнездо» (реж. Андрей Кончаловский, 1969)?"
VGIK-SOUND-00298,removed,удалён старый/низкоценный/ошибочный блок,"К какому типу удобнее отнести «Дворянское гнездо» (реж. Андрей Кончаловский, 1969)?"
VGIK-SOUND-00302,removed,удалён старый/низкоценный/ошибочный блок,"Кто режиссёр фильма «Девять дней одного года» (реж. Михаил Ромм, 1961)?"
VGIK-SOUND-00303,removed,удалён старый/низкоценный/ошибочный блок,"В каком году вышел фильм «Девять дней одного года» (реж. Михаил Ромм, 1961)?"
VGIK-SOUND-00304,removed,удалён старый/низкоценный/ошибочный блок,"К какому типу удобнее отнести «Девять дней одного года» (реж. Михаил Ромм, 1961)?"
VGIK-SOUND-00308,removed,удалён старый/низкоценный/ошибочный блок,"Кто режиссёр фильма «Добро пожаловать, или Посторонним вход воспрещён» (реж. Элем Климов, 1964)?"
VGIK-SOUND-00309,removed,удалён старый/низкоценный/ошибочный блок,"В каком году вышел фильм «Добро пожаловать, или Посторонним вход воспрещён» (реж. Элем Климов, 1964)?"
VGIK-SOUND-00310,removed,удалён старый/низкоценный/ошибочный блок,"К какому типу удобнее отнести «Добро пожаловать, или Посторонним вход воспрещён» (реж. Элем Климов, 1964)?"
VGIK-SOUND-00314,removed,удалён старый/низкоценный/ошибочный блок,"Кто режиссёр фильма «Доживем до понедельника» (реж. Станислав Ростоцкий, 1968)?"
